Genus_species	liver	heart	muscle	brain	eye	large intestine	small intestine	testes	ovary	spleen	kidney	lung	pancreas
Rhynchospiza_stolzmanni	2	1	2	1	1	1	1	1	0	0	1	1	1
Scytalopus_acutirostris	2	0	2	2	2	0	0	0	0	0	0	0	0
Sericornis_frontalis	6	6	6	6	6	0	0	3	2	0	4	4	0
Sicalis_taczanowskii	2	2	2	2	2	2	2	0	1	2	2	2	2
Sitta_europaea	4	4	4	1	2	0	0	0	0	0	0	0	0
Spinus_pinus	1	1	1	3	3	1	1	1	0	1	1	0	1
Spinus_psaltria	7	7	7	7	7	7	7	4	3	7	7	0	7
Spinus_tristis	2	12	12	2	12	2	2	6	5	5	2	0	2
Sporophila_peruviana	2	2	2	2	2	1	1	1	1	2	2	2	2
Sylvia_communis	2	2	2	2	2	0	0	1	1	0	0	0	0
Sylvia_curruca	4	4	4	3	4	0	0	1	3	0	0	0	0
Sylvia_nisoria	2	2	2	2	2	0	0	2	0	0	0	0	0
Synallaxis_stictothorax	1	1	1	1	1	1	1	1	0	1	1	1	1
Thamnophilus_bernardi	32	32	47	30	29	31	30	19	11	27	30	31	31
Thamnophilus_doliatus	1	1	2	1	1	1	1	1	0	1	1	1	1
Thlypopsis_ornata	1	0	1	1	1	0	0	1	0	0	0	0	0
Thlypopsis_superciliaris	34	34	45	34	33	31	32	17	14	33	34	34	31
Troglodytes_solstitialis	1	0	1	1	1	0	0	0	0	0	0	0	0
Tumbezia_salvini	4	4	4	4	4	4	4	4	0	4	4	4	4
